No,Country,Study names,Site,SiteID,SiteUniID,urb_pc_use(%),Lat,Lon,map,aet,pet,aet_p,pet_p,dwt,Tsamp,Zpeak1963,PERC,cxtfit_v,cxtfit_D,cxtfit_R2,Applicability_tau,SimpleModel,ComplexModel
"35,Australia,""Gambier Pl 10, AU"",Gambier Pl,NO16,1,2,-37.67,140.5,748,620,1038,0.8,1.4,25,1975,9.39,0.78,0.602,2.857,0.840,-15,,"
"36,UK,""Dorset70b, UK"",Dorset70b,Dorset2,15,2,50.9,-1.98,804,531,692,0.7,0.9,26,1970,7,0.98,0.966,0.105,0.820,-32,,"
"37,China,""Changwu, Shaanxi"",farmland-tableland,Changwu5,6,2,35.17,107.8,602,514,1005,0.9,1.7,195,2015,7,0.136,0.130,0.052,0.820,71,,"
"38,China,""Qingjian, Shaanxi"",Jujube 6 yrs,Qingjian1,11,0,37.17,110.25,497,425,1104,0.9,2.2,222,2015,9.51,0.18,0.181,0.046,0.790,81,,"
"39,China,""Qingjian, Shaanxi"",Jujube 16 yrs,Qingjian2,11,0,37.17,110.25,497,425,1104,0.9,2.2,222,2015,11.3,0.22,0.203,0.136,0.770,78,,"
"40,China,""Qingjian, Shaanxi"",Grass 7 yrs,Qingjian3,11,0,37.17,110.25,497,425,1104,0.9,2.2,222,2015,10.05,0.19,0.187,0.070,0.770,79,,"
"41,China,""Qingjian, Shaanxi"",Grass 16 yrs,Qingjian4,11,0,37.17,110.25,497,425,1104,0.9,2.2,222,2015,11.35,0.22,0.211,0.093,0.800,75,,"
"42,China,""Luochuan, Shaanxi"",Apple 24yrs,Luochuan,8,0,35.83,109.5,546,467,1024,0.9,1.9,104,2015,8.16,0.16,0.150,0.056,0.820,74,,"
"43,China,""Shenmu, Shaanxi"",Grass 15yr,Shenmu,13,3,38.8,110.37,441,379,1032,0.9,2.3,122,2017,11.45,0.21,0.207,0.028,0.760,83,,"
"44,China,""Xifeng,Gansu"",XZ1,Xifeng,7,1,35.5,107.65,495,425,982,0.9,2,152,2018,7.21,0.13,0.095,0.303,0.160,55,,"
