51.48	-1.4	1
34.62	32.97	2
36.93	-116.48	3
36.93	-116.48	4
15.7	-16.32	5
36.77	-116.7	6
34.45	-117.33	7
37.68	113.68	8
37.68	113.68	9
42.87	118.93	10
42.87	118.93	11
35.17	107.8	12
35.17	107.8	13
35.17	107.8	14
35.17	107.8	15
-27.22	23.2	16
-27.22	23.2	17
-27.22	23.2	18
-27.22	23.2	19
-27.22	23.2	20
52.6	0.88	21
50.9	-1.98	22
51.48	-1.4	23
50.9	-1.98	24
50.9	-1.98	25
-37.67	140.5	26
-37.67	140.5	27
-37.67	140.5	28
-37.67	140.5	29
-37.67	140.5	30
-37.67	140.5	31
-37.67	140.5	32
-37.67	140.5	33
-37.67	140.5	34
-37.67	140.5	35
50.9	-1.98	36
35.17	107.8	37
37.17	110.25	38
37.17	110.25	39
37.17	110.25	40
37.17	110.25	41
35.83	109.5	42
38.8	110.37	43
35.5	107.65	44
