-37.67	140.5	1
-37.67	140.5	1
-37.67	140.5	1
-37.67	140.5	1
-37.67	140.5	1
-37.67	140.5	1
-37.67	140.5	1
-37.67	140.5	1
-37.67	140.5	1
-37.67	140.5	1
-27.22	23.2	2
-27.22	23.2	2
-27.22	23.2	2
-27.22	23.2	2
-27.22	23.2	2
15.7	-16.32	3
34.45	-117.33	4
34.62	32.97	5
35.17	107.8	6
35.17	107.8	6
35.17	107.8	6
35.17	107.8	6
35.17	107.8	6
35.5	107.65	7
35.83	109.5	8
36.77	-116.7	9
36.93	-116.48	10
36.93	-116.48	10
37.17	110.25	11
37.17	110.25	11
37.17	110.25	11
37.17	110.25	11
37.68	113.68	12
37.68	113.68	12
38.8	110.37	13
42.87	118.93	14
42.87	118.93	14
50.9	-1.98	15
50.9	-1.98	15
50.9	-1.98	15
50.9	-1.98	15
51.48	-1.4	16
51.48	-1.4	16
52.6	0.88	17
