i,intercept,reg_coef_1,reg_coef_2,reg_coef_3,r_squared_train,adj_r_squared_train,rmse_train_train,mae_train_train,r_squared_test,adj_r_squared_test,rmse_train_test,mae_train_test
1,-12.552222663626452,-1.412196053803497,0.4051311479265272,-0.08155954076354482,0.775101989090953,0.7533376654545936,19.984248462066127,13.986866572433701,0.5022913423240044,0.20366614771840708,34.66659840853193,29.458227340443475
2,-16.049423366790432,3.873158975318949,0.3613904308290789,-0.08330607031730075,0.6963307530775985,0.6669434066012371,24.163911072785925,18.976135111685906,0.9478888881376247,0.9166222210201995,11.887172894189478,9.608062323257688
3,-17.64605063201825,3.913798923349967,0.34916499876263657,-0.07935054013373721,0.7670434403464543,0.7444992571541758,21.047409025904443,16.02454716679699,0.7279397854058854,0.5647036566494167,26.44039038244789,19.53588786847437
4,-19.226257261644136,4.3403790755705485,0.38220094321626275,-0.08800229702845869,0.749819384299162,0.7256083569732744,22.551896595669596,17.1052826160099,0.760140030541652,0.6162240488666433,21.183652849661243,16.896613989741887
5,-18.1401707075816,4.988914533183569,0.3474503380258727,-0.08264916443724168,0.746232259783325,0.7224415341380117,21.87216484025314,16.405488301452614,0.6927104094494868,0.46224321653660194,23.980451451497387,19.459042453135194
6,-13.18570847452385,2.4006773992944215,0.36011834017866884,-0.08211450012321259,0.7344021550581157,0.7086991378056753,22.636739724425162,17.230502899469048,0.6747341869615183,0.4795746991384293,21.165316908680794,16.902387798691635
7,-17.8281454906021,2.809840483820649,0.45000786625105405,-0.10233430969789037,0.7257211579552453,0.6991780442089788,22.530857196769137,17.144943697996574,0.9437197977841896,0.9099516764547033,29.631737657932895,25.647208910189462
8,-17.231428472273084,4.118886065890453,0.3427353188499144,-0.0787554117768785,0.7554413747066496,0.7317744109685835,21.435800961218582,16.092515548309596,0.7995199785768377,0.6792319657229402,25.34640495856394,19.60019829100856
9,-21.226686813078043,4.815711659650412,0.35428855987384295,-0.08223190149908488,0.7929895428041916,0.7729562727529844,19.71980172926228,14.93203265074977,0.6270443883104241,0.4032710212966786,30.483935185122526,23.688473095941923
10,-18.581925578608182,3.9099321079624603,0.3657303023838196,-0.08206831529280145,0.7360488915614968,0.711303475145387,22.805222525875166,17.32178320059012,0.7800853902308365,0.6151494329039637,19.19147269982864,14.7864436694987
