i,intercept,reg_coef_1,reg_coef_2,reg_coef_3,r_squared_train,adj_r_squared_train,rmse_train,mae_train,r_squared_test,adj_r_squared_test,rmse_test,mae_test
1,-18.013006118255614,3.9517142083922314,0.36536566385071095,-0.08387120184049285,0.7413361076244427,0.7214388851340152,22.419757701388573,17.096107023722514,,,3.2955619098448947,3.2955619098448947
2,-17.13209434482976,4.567745412572521,0.3555193162752122,-0.0839159994582695,0.7579190777993112,0.7392974683992583,21.21853273930102,16.294036048514165,,,48.89278416974685,48.89278416974685
3,-17.935891241566054,3.93173034759462,0.3655576754104001,-0.08269156832098373,0.74293905881564,0.7231651402629969,22.416380477536016,17.15673028491801,,,5.7612318566415865,5.7612318566415865
4,-17.821552715162294,3.9133679751451904,0.3649896764947006,-0.08375963510091616,0.7424638947014506,0.7226534250631006,22.425129356496857,17.172944105873526,,,0.13807968855759611,0.13807968855759611
5,-18.135262587770843,4.231990007077633,0.36365906123162967,-0.08434795208117829,0.7440623202894466,0.724374806465558,22.38968584701536,17.020881454207434,,,8.992481705052889,8.992481705052889
6,-13.116759545118505,0.8560918184770102,0.37472207486762726,-0.0801849846712307,0.7435017063795504,0.7237710684087466,22.056918585565306,16.197820525063708,,,40.55864296502191,40.55864296502191
7,-17.66034226594735,3.9455127398939553,0.3646587203331242,-0.08382451706755839,0.7436867570931536,0.723970353792627,22.390889323912813,17.015333442029817,,,8.231892167851122,8.231892167851122
8,-18.576585392477657,3.9521799693576174,0.36262533140420655,-0.08287957067777946,0.7524534826015732,0.7334114428016942,21.746909690999736,16.23834315697248,,,36.36780107572284,36.36780107572284
9,-18.746504076271425,3.960848537769602,0.3620883447086688,-0.08268645536987157,0.7579686250206358,0.7393508269453001,21.397844774718767,16.03158760104037,,,44.58141949155046,44.58141949155046
10,-19.164050630863418,3.9441327198429477,0.36543833165545425,-0.08330853885693396,0.7670199955142855,0.749098456707692,21.060614417325027,15.871580379625362,,,51.13405590715091,51.13405590715091
11,-19.325157180471727,3.9477803393215387,0.3654906814825366,-0.08325730292198891,0.7732282993977929,0.7557843224283923,20.69834693841713,15.715548858026205,,,57.28265859997495,57.28265859997495
12,-17.80276943628986,3.902187239320411,0.36544607797350964,-0.08382912827359501,0.7381854314986873,0.7180458493062787,22.42409837697797,17.145831332117993,,,1.4610269892071415,1.4610269892071415
13,-17.975386714164337,3.9955807510412056,0.3618817861620572,-0.08306904401601412,0.7360817575776856,0.7157803543144307,22.373673968046628,16.90847708169128,,,10.29127710314959,10.29127710314959
14,-17.975386714164337,3.9955807510412056,0.3618817861620572,-0.08306904401601412,0.7360817575776856,0.7157803543144307,22.373673968046628,16.90847708169128,,,10.29127710314959,10.29127710314959
15,-17.928309274744027,3.9701097932991685,0.36285386574699874,-0.08327633972262705,0.7364264979704012,0.7161516131988935,22.400751375849097,16.991743170994216,,,7.086103259779577,7.086103259779577
16,-17.82004817603819,4.037667856485197,0.3641217125050544,-0.08392717648585091,0.743590334293971,0.7238665138550457,22.397936400929485,17.03759146844845,,,7.447124364131941,7.447124364131941
17,-17.816484585802584,4.143252206697679,0.3633705455565564,-0.08409129420888523,0.7446241186026478,0.7249798200336207,22.331671485680147,16.919759267337806,,,13.794901978688287,13.794901978688287
18,-17.81767244921446,4.108057423293518,0.36362093453938904,-0.08403658830120703,0.7442032820251513,0.7245266114117014,22.35818380108762,16.959036667708016,,,11.678976107169493,11.678976107169493
