i,intercept,reg_coef_1,reg_coef_2,reg_coef_3,r_squared_train,adj_r_squared_train,rmse_train_train,mae_train_train,r_squared_test,adj_r_squared_test,rmse_train_test,mae_train_test
1,-18.012970694109736,3.9517142083921932,0.36536535886452254,-0.0838712018404929,0.7413361076244425,0.721438885134015,22.419757701388576,17.096107023722514,,,3.2955619098448485,3.2955619098448485
2,-17.132058901763116,4.56774541257253,0.35551901112612366,-0.08391599945826972,0.7579190777993112,0.7392974683992583,21.21853273930102,16.29403604851417,,,48.89278416974686,48.89278416974686
3,-17.93585631565456,3.9317303475946077,0.3655573747137884,-0.0826915683209839,0.7429390588156404,0.7231651402629973,22.41638047753602,17.156730284918005,,,5.761231856641373,5.761231856641373
4,-17.82151733813821,3.9133679751451758,0.36498937191420955,-0.08375963510091627,0.7424638947014509,0.7226534250631009,22.42512935649686,17.172944105873523,,,0.1380796885578235,0.1380796885578235
5,-18.135226962263093,4.231990007077636,0.36365875451180385,-0.08434795208117823,0.7440623202894466,0.724374806465558,22.38968584701536,17.020881454207434,,,8.992481705052874,8.992481705052874
6,-13.11672567789681,0.8560918184770099,0.37472178328586503,-0.08018498467123075,0.7435017063795503,0.7237710684087464,22.056918585565302,16.197820525063705,,,40.558642965021924,40.558642965021924
7,-17.660306861519523,3.9455127398939465,0.3646584155166988,-0.08382451706755839,0.7436867570931538,0.7239703537926272,22.39088932391281,17.015333442029814,,,8.231892167851115,8.231892167851115
8,-18.57655038716089,3.952179969357655,0.3626250300239496,-0.08287957067777957,0.752453482601574,0.7334114428016951,21.746909690999736,16.238343156972483,,,36.36780107572285,36.36780107572285
9,-18.74646915251954,3.9608485377696407,0.3620880440306492,-0.08268645536987163,0.7579686250206368,0.7393508269453011,21.397844774718767,16.03158760104038,,,44.58141949155048,44.58141949155048
10,-19.164015444365983,3.9441327198429406,0.3654380287153128,-0.08330853885693384,0.7670199955142852,0.7490984567076917,21.06061441732503,15.871580379625364,,,51.13405590715092,51.13405590715092
11,-19.325122015614475,3.9477803393215303,0.3654903787287076,-0.0832573029219888,0.7732282993977931,0.7557843224283927,20.69834693841713,15.71554885802621,,,57.282658599974944,57.282658599974944
12,-17.80273402991443,3.902187239320423,0.3654457731403158,-0.08382912827359501,0.7381854314986878,0.7180458493062791,22.424098376977973,17.145831332117993,,,1.4610269892071273,1.4610269892071273
13,-17.97535162882084,3.995580751041218,0.3618814840928061,-0.08306904401601417,0.7360817575776856,0.7157803543144307,22.373673968046628,16.908477081691284,,,10.291277103149575,10.291277103149575
14,-17.97535162882084,3.995580751041218,0.3618814840928061,-0.08306904401601417,0.7360817575776856,0.7157803543144307,22.373673968046628,16.908477081691284,,,10.291277103149575,10.291277103149575
15,-17.92827410184636,3.9701097932991827,0.362853562923945,-0.08327633972262705,0.7364264979704012,0.7161516131988935,22.400751375849094,16.991743170994216,,,7.086103259779591,7.086103259779591
16,-17.820012728250735,4.037667856485194,0.3641214073153219,-0.08392717648585102,0.7435903342939715,0.7238665138550462,22.397936400929485,17.03759146844845,,,7.447124364131948,7.447124364131948
17,-17.81644906869777,4.1432522066976745,0.3633702397700322,-0.08409129420888528,0.7446241186026482,0.7249798200336212,22.331671485680143,16.91975926733781,,,13.794901978688287,13.794901978688287
18,-17.817636955215423,4.108057423293515,0.36362062895179537,-0.08403658830120714,0.7442032820251517,0.7245266114117019,22.35818380108762,16.959036667708023,,,11.678976107169508,11.678976107169508
19,-17.81823089847425,4.090460031591429,0.36374582354267704,-0.0840092353473681,0.7440215012915206,0.7243308475447144,22.369778436208176,16.97867536789313,,,10.621013171410102,10.621013171410102
20,-17.80249140211534,4.55679091169656,0.3604281668843141,-0.0847340886241027,0.7554288733197337,0.7366157097289441,21.680358855014656,16.458249812987784,,,38.65703096903397,38.65703096903397
21,-16.542127807081226,3.716050675434818,0.36071101008965833,-0.08248148088901808,0.7360640035758881,0.7157612346201871,22.20568087238543,16.772106492147813,,,21.112043484118544,21.112043484118544
22,-16.687189238944892,3.6958104107753567,0.3619581096611259,-0.08268858894180114,0.7367589592340296,0.7165096484058779,22.269417802671292,16.82059401125961,,,17.813168317226513,17.813168317226513
23,-17.87496059860493,3.9239944744290196,0.36510020391491155,-0.08377136196889329,0.7408303376043278,0.7208942097277377,22.424745579746705,17.15408452528863,,,0.886261515405053,0.886261515405053
24,-17.221842811974323,3.7983146104690957,0.36338975176123633,-0.08318047160962655,0.7368409395438879,0.7165979348934177,22.381540916833885,16.98452400031263,,,9.436881721379,9.436881721379
25,-17.296288246193615,3.812587347135303,0.36358909433213804,-0.08324896160134909,0.7369477694311546,0.7167129824643204,22.391658155762038,17.007764220980867,,,8.270563334615414,8.270563334615414
26,-18.19567040711267,3.9543039348537596,0.3664396007059223,-0.08408949065802146,0.7403419628900174,0.720368267727711,22.402148381955246,17.00968026900232,,,6.8259528241415275,6.8259528241415275
27,-19.12278994472121,4.055397882317269,0.37002585294254303,-0.08497512545651575,0.7488296379363946,0.7295088408545787,22.14260073792971,16.596053635419032,,,23.861938631062934,23.861938631062934
28,-17.692049917547532,3.8993887041328312,0.36449151307121486,-0.08360840508846895,0.737744671029765,0.7175711841859008,22.422227029092202,17.127389597380038,,,2.428162922828129,2.428162922828129
29,-17.388733031786725,3.866314758357736,0.3633182330184933,-0.08331866037044311,0.7368725184257019,0.7166319429199867,22.393542106635188,17.016200263176238,,,8.00166445225302,8.00166445225302
30,-18.52760209341697,3.990498064192545,0.36772356755607066,-0.08440656978340844,0.7428299329979243,0.7230476201516107,22.342608073727376,16.86159172117621,,,12.925256384644273,12.925256384644273
31,-18.390251050808292,3.97552118308684,0.367192270928423,-0.08427536462807578,0.7417259172242958,0.7218586800877032,22.37172520886646,16.922869740966323,,,10.40140663547071,10.40140663547071
32,-17.823678000047494,3.913741548525802,0.36500067233937694,-0.08373414336232932,0.7382857626665612,0.7181538982562967,22.425134339674244,17.175641572600558,,,0.00947357987016062,0.00947357987016062
33,-17.875184641025744,3.9193578789404393,0.36519990857474466,-0.08378334529557896,0.7385241149670367,0.7184105853491165,22.42470150158246,17.15266231517926,,,0.9369700760699153,0.9369700760699153
34,-16.56462677613467,3.7764534717234985,0.3601304532526083,-0.08253142943844821,0.7372036327389508,0.7169885275650241,22.1594290671127,16.73555194352746,,,23.14476294729428,23.14476294729428
35,-16.553180855917294,3.77520539829802,0.3600861785336377,-0.08252049567550374,0.7372367789984955,0.7170242235368414,22.154548477087552,16.732314907295113,,,23.355083759725396,23.355083759725396
36,-16.80224127364742,3.717868276532235,0.3622661845434282,-0.0827944371108269,0.7366740788244285,0.7164182387339999,22.299421316089894,16.853533665637098,,,16.010676264955528,16.010676264955528
