i,intercept,reg_coef_1,reg_coef_2,reg_coef_3,r_squared_train,adj_r_squared_train,rmse_train_train,mae_train_train,r_squared_test,adj_r_squared_test,rmse_train_test,mae_train_test
1,-18.28202591865986,4.358114544712778,0.352048341054207,-0.08149173687871836,0.7185735246476953,0.6913387044523109,,,0.8961801538867501,0.8338882462188002,,
2,-20.6227514108076,3.8821306255023993,0.3885026373237105,-0.08835687980697299,0.7694924643665102,0.7471852834987531,,,0.6868071157220522,0.49889138515528353,,
3,-17.472207915116073,3.7299664542031725,0.37428191662677945,-0.08566093947177816,0.7284633529533219,0.7021856129165466,,,0.803895827917409,0.6862333246678544,,
4,-17.363043462666518,5.2458902411089925,0.3535840738678575,-0.08639670899977886,0.7737117344914836,0.7518128700874336,,,0.6525861048530402,0.44413776776486436,,
5,-12.601166989280042,0.5096303722482673,0.36757490998511766,-0.07707372649092209,0.7458056936115063,0.721974977387585,,,0.7404098896041568,0.5457173068072744,,
6,-20.267842768626174,4.284849203587147,0.36864810357319655,-0.08473948335232112,0.7262357548465523,0.6997424407994445,,,0.8203107094463141,0.7124971351141026,,
7,-18.49666891243022,4.4750852644434955,0.3510830021983769,-0.08173084272560371,0.8157246076420127,0.7978915051557559,,,0.5769580066427609,0.32313281062841737,,
8,-18.307152027307538,3.746990048901187,0.4074885686210076,-0.09398242102877313,0.7308095171864277,0.7047588253012433,,,0.9447930840566519,0.911668934490643,,
9,-17.360637644902898,4.52888509405846,0.35369630915412686,-0.08198495489704954,0.7312834696278954,0.7052786441080143,,,0.7864939959993363,0.6583903935989381,,
10,-10.478099089547126,-0.19911939974771353,0.3645667747352236,-0.07540736900661332,0.7425461988048793,0.7184099049428367,,,0.7625708084850948,0.5844989148489159,,
11,-19.215066901192568,3.781815803035543,0.3536978749720389,-0.07963455469481845,0.775267936072763,0.7535196718217401,,,0.8879668812370228,0.8207470099792366,,
12,-17.439086030477668,3.7296442023318392,0.3758451290471219,-0.08600777320949515,0.7200516127934287,0.6929598333863412,,,0.8424978131848184,0.7479965010957095,,
13,-19.763921288157945,4.962874070253135,0.35763792398200117,-0.08358678633186933,0.7552330825220052,0.7315459614757476,,,0.6688736026877472,0.4701977643003955,,
14,-18.660246654404162,4.007524241041332,0.38280744116281834,-0.08816969054745666,0.753271783421668,0.7293948592366681,,,0.7174687861964669,0.547950057914347,,
15,-13.041311407155465,2.1337343895834446,0.3671221587490633,-0.08198122247112172,0.7217700088657237,0.6956859471968853,,,0.8123375372413494,0.6715906901723614,,
16,-15.692790278551708,4.443548324461779,0.3689581160535745,-0.08771189396876367,0.7258094117709919,0.6992748387165718,,,0.8952378606315776,0.8323805770105241,,
17,-18.30798794786009,4.492966778836393,0.36252308257382315,-0.08466361075732193,0.7659284182610613,0.7432763297056801,,,0.6446441491833337,0.43143063869333387,,
18,-20.330703543246273,3.8449996236065838,0.3637965856987628,-0.08186382042010953,0.745996032193134,0.7214150030505342,,,0.6517349060735743,0.4427758497177189,,
19,-14.636868268227019,0.8384668898617786,0.3765197547002257,-0.07966796747538096,0.767120932700645,0.7445842487684493,,,0.5996865903843955,0.35949854461503283,,
20,-17.10323690909473,4.045994735213905,0.3579049031154089,-0.08261906518790657,0.7166745812836853,0.6901128232790308,,,0.8685921515341433,0.7700362651847508,,
21,-14.838999218744014,3.3532125415648855,0.36820373466060324,-0.08376280309831469,0.7021351767947116,0.6733095487425869,,,0.9496571431315356,0.919451429010457,,
22,-20.195879450152752,4.169489830672071,0.3727735417094892,-0.08412802062550595,0.7487496170395175,0.7244350638497934,,,0.6502407594967087,0.44038521519473384,,
23,-17.682590390484858,4.083881559738139,0.35535301363051924,-0.08176038162518107,0.7141565980133453,0.6864943333049593,,,0.8420590491887675,0.747294478702028,,
24,-19.94355521947435,4.516502033842689,0.3584670119575115,-0.08296579345406602,0.7799055906809194,0.7586061317145567,,,0.6001267868940636,0.36020285903050175,,
25,-15.141958967491579,2.701878002728384,0.3706910519939744,-0.08375183466662,0.770407476726026,0.748883177669091,,,0.6268773348631063,0.3470353360104359,,
26,-21.620841265442564,4.802937383873009,0.3741755272405451,-0.08737973577574248,0.7907132995848845,0.7704597479318087,,,0.5143897941280668,0.2230236706049069,,
27,-20.84353690631915,4.462544785087568,0.3720977012580241,-0.04040782925485764,0.7148653501571149,0.687271674365868,,,0.44680677018918374,0.11489083230269403,,
28,-8.850204141311007,0.4793019455646679,0.36072299445834044,-0.07715584451788021,0.7161919562321875,0.688726661674012,,,0.8256786750322787,0.7210858800516459,,
29,-20.55635578595817,3.827281681926912,0.36669998231211026,-0.08257593068633262,0.7819840748598941,0.7608857595237548,,,0.5727983970541618,0.31647743528665884,,
30,-17.188157201203982,4.224162622344985,0.379695331676732,-0.08893784147360534,0.7298307398582575,0.7045023717199692,,,0.8344658979173782,0.7103153213554119,,
31,-19.95411020982537,5.179834427976955,0.34635199920153303,-0.08210506881092228,0.8006588887134775,0.7813678134276849,,,0.5393238464974294,0.26291815439588695,,
32,-14.648311166664932,4.02148504082525,0.35204615319854327,-0.08111487985155719,0.7468934275117725,0.7223992430774279,,,0.7418341634143714,0.5869346614629942,,
33,-17.04979791720469,3.9176346819430594,0.36557672098159405,-0.08395581793724938,0.693279804795806,0.6635972052599162,,,0.919150199837924,0.8706403197406785,,
34,-14.408951612479292,-0.39100240452040036,0.40864495371601217,-0.08465147977365384,0.7561980947128653,0.7326043619431426,,,0.6620556854774677,0.45928909676394836,,
35,-18.596938073531586,3.769853776111037,0.36913739116414934,-0.08396478140424984,0.7314340435933049,0.7062559851801773,,,0.7925091652153826,0.6368910391269196,,
36,-17.10409741916607,3.653025136816408,0.36383461985827675,-0.08147404304746358,0.738493198687361,0.713186088882912,,,0.7594265193500248,0.6150824309600397,,
37,-17.710553469878217,4.31287014380369,0.36276768953850375,-0.0844504206702354,0.730616122755629,0.7045467152803673,,,0.7867027582688947,0.6587244132302315,,
38,-20.60544156114505,4.2876961152907445,0.3796303603168889,-0.08751953298560433,0.719328416246516,0.692166650076824,,,0.9223413886983604,0.8757462219173766,,
39,-11.951148730810186,0.11350205344724106,0.3707356282624651,-0.07742527516674014,0.7501111120010749,0.7259283163882757,,,0.6792707818811873,0.4868332510098996,,
40,-18.146407259518767,4.721411756665137,0.357020364206,-0.08420028179753497,0.7904428910988717,0.7707969121393909,,,0.558737103613311,0.22778993132329417,,
41,-15.876419927261377,4.042583326096343,0.36367792026763884,-0.08461997824280754,0.7116470706450807,0.6837419484494434,,,0.8352981330270092,0.7364770128432147,,
42,-16.26495790232875,4.358231427525382,0.35225394927998943,-0.08251945707907948,0.7106972217226574,0.6827001786635597,,,0.9392636177734717,0.9028217884375547,,
43,-20.877285096063957,3.7684400134690352,0.3837478644234467,-0.08511408701989931,0.7806326357136999,0.759403535944058,,,0.5767499427756705,0.32279990844107276,,
44,-11.853146688193469,1.6288627022754558,0.377677383350763,-0.08481645416354971,0.7302847282389825,0.7041832503266259,,,0.7876233167185234,0.6601973067496374,,
45,-21.936906044676956,4.402631310182478,0.3542764714241835,-0.08057545925794429,0.7939839210601911,0.774669913659584,,,0.6711983801660908,0.42459716529065883,,
46,-17.145594955656296,3.8363529244697228,0.3701527396827121,-0.08489563075140505,0.7077809695051267,0.6795017084894938,,,0.8995711722099065,0.8393138755358504,,
47,-18.442830640569102,4.405569643329965,0.3699048147643496,-0.08529872329706278,0.7642324780746051,0.7414162662753734,,,0.678482840921396,0.48557254547423356,,
48,-18.34343388642091,4.241082268984414,0.3702802858543693,-0.08589983415472813,0.7678534815022224,0.7453876893895344,,,0.6007746233974884,0.36123939743598155,,
49,-13.936704308057802,0.2155345357304976,0.3692711807305673,-0.07660123237788291,0.7821196964617491,0.761034505796757,,,0.5605412264923206,0.296865962387713,,
50,-18.01522378064085,4.5960447675561715,0.3545800355729826,-0.08315069240215262,0.7094270562596688,0.6821858427840128,,,0.9618985792422426,0.9333225136739246,,
51,-14.45292799399028,0.6924446986810388,0.3711802404554968,-0.07811257404156191,0.7495829352433946,0.7253490257508199,,,0.7528175663087702,0.6045081060940323,,
52,-18.355181909488135,5.910534340446819,0.36810553842839555,-0.0911928160589327,0.7856563459145596,0.7649134116482266,,,0.6820485712592593,0.4912777140148149,,
53,-16.756270722411873,4.047786832258002,0.3550490914408688,-0.08197393530750674,0.7461034952079767,0.7215328657119744,,,0.567849473716311,0.30855915794609756,,
54,-19.349040086588502,3.8887834166909476,0.35627432633669065,-0.08062187862942305,0.7551960886836905,0.7315053875885638,,,0.751453624902863,0.6023257998445809,,
55,-22.513533308881613,4.257346275868292,0.4143542926102898,-0.039241959991912656,0.7071943537769374,0.6797438244435252,,,0.33688630511121104,-0.16044896605538073,,
56,-13.873998304616162,3.340467665410755,0.35472455306578704,-0.08075307462040737,0.6959544689865138,0.6665307079206926,,,0.9255768929398799,0.8809230287038078,,
57,-22.65533827172875,4.467986631440307,0.3896901558303443,-0.049971677172501006,0.7365282486487149,0.7110309823889132,,,0.2899725765959437,-0.13604387744649005,,
58,-14.532805719473536,5.064389122233632,0.3351331644736766,-0.08135921990826606,0.7591070896077822,0.7357948724730514,,,0.4378264168219442,0.10052226691511057,,
59,-21.544006001096836,4.131063854946571,0.3849870031885986,-0.08788340622543761,0.7515322484140287,0.7274869821315153,,,0.7331133934290597,0.5729814294864954,,
60,-14.156613021919593,-0.29349282241333513,0.38836180505682927,-0.07976141360502087,0.7826999516811957,0.7623280721513077,,,0.5203429984877825,0.16060024735361944,,
61,-13.980931339227698,0.7916826909440723,0.38227506232282676,-0.08154405157657307,0.7320811256724234,0.7061534926729806,,,0.7435040539455204,0.5896064863128327,,
62,-16.881612214979413,4.911381401661028,0.3515221113670399,-0.08410431226591653,0.7675102141073159,0.7450112025693143,,,0.67767644652401,0.4842823144384161,,
63,-18.696811305240537,5.3833706294866355,0.3451017941324626,-0.08295961377344141,0.7372881769376031,0.711864452125113,,,0.7743960354952715,0.6390336567924344,,
64,-16.739301415121176,3.352493543790227,0.3710181675197731,-0.08221528329631672,0.7434217470467723,0.7185915935351697,,,0.7083059313577649,0.5332894901724238,,
65,-20.12589615679136,3.6904421927125823,0.379270256391427,-0.08535166951007012,0.7459837419371301,0.7221697177437361,,,0.6775341592509103,0.43568477868909306,,
66,-20.263124339447156,4.977200459097349,0.3373453885737402,-0.07879923145975909,0.7851925272011955,0.7644047072529241,,,0.6569687631291532,0.45115002100664514,,
67,-17.931568458542767,4.383584561430778,0.3553504629327635,-0.08313980407889576,0.767638961042614,0.7451524088854475,,,0.4782248934012771,0.16515982944204344,,
68,-19.606007978466796,4.521983238755397,0.36091333961443134,-0.08385182525320106,0.7445202904251509,0.7197964475630687,,,0.714878985862825,0.54380637738052,,
69,-10.749221098886345,0.09423476571165645,0.3905730957512349,-0.08285348760024525,0.719481228839278,0.6923342509850146,,,0.7385136413186951,0.5816218261099122,,
70,-17.88548794235701,3.2805725595390225,0.4075207691380635,-0.09115729134464301,0.718894147173038,0.6925404734705103,,,0.9588244972138142,0.927942870124175,,
71,-17.518794771559204,4.483104076217574,0.3524823055417034,-0.08255708066192491,0.7820855009811944,0.7609970010761488,,,0.5810959646140901,0.32975354338254415,,
72,-18.576364591940703,3.962392391742142,0.3863225536773874,-0.08906579831582706,0.7267516162813169,0.7003082243085411,,,0.8655975488616311,0.7849560781786098,,
73,-12.542276447019596,0.21495010590095373,0.35850299906375777,-0.07422395992317105,0.7582040241694696,0.7348044136052247,,,0.7038169123289162,0.5261070597262659,,
74,-21.461356303051843,4.599693564519726,0.3858372312514322,-0.047358295353991886,0.7088032224669729,0.6806228891573252,,,0.5051671152671164,0.20826738442738635,,
75,-19.527745762740942,4.734663567245672,0.3715843562688117,-0.08744930435415255,0.7634740477677138,0.7412997397459369,,,0.6327671651630742,0.3573425390353798,,
76,-19.173360904910304,3.937404185554825,0.3866206945024258,-0.08862085423103083,0.7483901289868925,0.7240407866307854,,,0.7178905193506628,0.5486248309610605,,
77,-11.638857367976165,-0.038602628241209976,0.3899278975860193,-0.08192795322809326,0.7275948398990155,0.7012330502118236,,,0.6876735740071553,0.5002777184114485,,
