i,intercept,reg_coef_1,reg_coef_2,reg_coef_3,r_squared_train,adj_r_squared_train,rmse_train_train,mae_train_train,r_squared_test,adj_r_squared_test,rmse_train_test,mae_train_test
1,-21.36120644118578,4.77637494719014,0.357464186234271,-0.08210291564376998,0.7717484940702957,0.7496596386577437,21.226593847753254,15.79440743219422,0.6401853300616455,0.4242965280986327,26.18609919900548,20.614515843380023
2,-15.480194471538677,5.284225979213437,0.3427991596097641,-0.0837767985351423,0.7356125878796222,0.7100267092873276,22.708685021631688,17.848412876215807,0.48451990648385934,0.175231850374175,21.916965179109642,16.494764001124558
3,-21.897576696792058,3.9297761609898094,0.3730793095900379,-0.08378286207539115,0.7875718792358785,0.7670143191619312,18.729748888520096,13.940741543984196,0.5742622846737144,0.3188196554779431,33.044472711939946,27.19607221495629
4,-17.190317293357932,4.380142816105395,0.3572186045325266,-0.08348278799004616,0.7256681622891831,0.6991199199300717,23.667178761608497,18.09675447093079,0.8499031428622478,0.7598450285795965,15.244252764621375,12.566008393627136
5,-7.885271871899285,-1.1969252642924764,0.39522341911898407,-0.08218493503990415,0.719668463910084,0.6933873824016543,22.594218762684292,16.577893493068775,0.7272933306103732,0.522763328568153,27.319756197295565,22.811633053644584
6,-20.279023455753386,4.127739849764705,0.3760768058085269,-0.08615037490484895,0.7421315906089975,0.7171765832485779,22.57342883668823,17.404204569112594,0.7572112791685244,0.611538046669639,20.807305006236056,14.193064893277388
7,-11.44597439859761,-0.019777546448285575,0.3745337928876607,-0.07831610250962417,0.7402475540311967,0.7151102205503448,22.41880607908655,16.89551351266456,0.676544886699118,0.4824718187185889,24.91869313577141,17.078532035311053
8,-21.4101678319831,4.272857329107674,0.36683765564303233,-0.08231651913952931,0.7953385802563099,0.7755326364101462,20.12869643482095,15.365301983906663,0.2639203153670621,-0.1777274954127006,29.377001061718417,22.33355833557595
9,-14.10469415669974,3.4483539459740955,0.357563539757191,-0.08170187002254392,0.6876648558828489,0.6574388741940923,23.654273134456673,18.047735020441234,0.9341398838672603,0.8946238141876165,15.910492225834066,14.368165678281672
10,-17.02074324306535,5.223838427709539,0.35161517913705054,-0.08507016634548692,0.7570196830611147,0.7342402783480941,20.969531935198518,16.176391824786304,0.6759128681138095,0.43284751919916653,27.900337350186952,22.328844601878174
11,-14.392694948905238,3.199172951446967,0.37584946358137156,-0.08569925666000394,0.7101590177574828,0.6821098904436909,23.199662207328917,17.162204972949844,0.9147600689754363,0.8636161103606981,18.88337049535393,17.950156754855495
12,-20.57014632989514,4.304970607694827,0.36086848948534894,-0.08136884682779033,0.7270128199003276,0.7005947056971336,23.382878232532047,17.928732652681283,0.8736663017405787,0.7978660827849259,17.4329921505241,12.320362408153672
13,-16.465330166540944,3.4942283216759957,0.36136485143659797,-0.0830559083184561,0.7521843917676846,0.7282022361322993,22.886470818165566,17.364593729832425,0.6669522688025628,0.4671236300841004,19.228983339316063,14.599581695177765
14,-19.740073513256267,4.269621337386806,0.37709159040148627,-0.0874145915446723,0.7940332302458573,0.7741009622051338,19.207701815867566,15.051332123168322,0.5228252596182303,0.23652041538916857,31.27576259823891,23.846907656705277
